Frames, Pages, Faults, Reads, Writes
5, 100, 491, 295, 196
10, 100, 477, 288, 189
15, 100, 461, 280, 181
20, 100, 456, 275, 181
25, 100, 447, 270, 177
30, 100, 421, 257, 164
35, 100, 410, 251, 159
40, 100, 401, 247, 154
45, 100, 397, 244, 153
50, 100, 389, 236, 153
55, 100, 351, 203, 148
60, 100, 341, 200, 141
65, 100, 338, 200, 138
70, 100, 337, 200, 137
75, 100, 327, 200, 127
80, 100, 320, 200, 120
85, 100, 315, 200, 115
90, 100, 311, 200, 111
95, 100, 306, 200, 106
100, 100, 200, 100, 100
