Frames, Pages, Faults, Reads, Writes
5, 100, 208, 106, 102
10, 100, 225, 116, 109
15, 100, 238, 123, 115
20, 100, 239, 124, 115
25, 100, 254, 136, 118
30, 100, 256, 139, 117
35, 100, 262, 142, 120
40, 100, 280, 152, 128
45, 100, 272, 149, 123
50, 100, 281, 152, 129
55, 100, 285, 159, 126
60, 100, 278, 154, 124
65, 100, 274, 149, 125
70, 100, 262, 144, 118
75, 100, 259, 142, 117
80, 100, 252, 139, 113
85, 100, 230, 120, 110
90, 100, 238, 128, 110
95, 100, 218, 113, 105
100, 100, 200, 100, 100
